"Block.Size"	"Transactions.in.block"	"Un.modified.Base.Reward"	"Block.Penalty"	"New.base.reward"	"Fees.in.Block"	"Total.Block.Reward.with.Fees"	"Remaining.of.txs.in.txpool"	"Num.transactions.entered.into.txpool"	"Oldest.tx"	"Median100"
924737.115886205	38	8304951480032.38	7614019573459.35	690931906573.025	9164512623824.15	9855444530397.18	1216	40	33	472407.390986978
897442.802091814	33	8304950162184.35	6658099114456.16	1646851047728.19	8434900081286.96	10081751129015.1	1222	38	34	473490.04437919
964640.55565711	34	8304947021065.25	8574670874922.12	-269723853856.866	8746354321562.51	8476630467705.64	1216	27	34	478466.470521022
948590.984497833	34	8304947535522.68	7660146188450.53	644801347072.149	8555105771804.36	9199907118876.51	1191	8	35	483877.371187808
974042.623608831	32	8304946305661.71	7460192018582.16	844754287079.551	8786616420527.65	9631370707607.2	1195	35	35	500078.890843991
1036420.60913657	36	8304944694420.78	8562937244045.29	-257992549624.513	9372847554395.57	9114855004771.06	1180	20	36	514247.085652189
1017205.83552128	44	8304945186502.52	7024661579666.5	1280283606836.02	9255347873973.39	10535631480809.4	1159	22	37	529878.591512751
1087469.60134137	37	8304942744555.33	8067227014637.86	237715729917.468	9944023518787.8	10181739248705.3	1172	49	37	547682.387638647
1110707.99433464	40	8304942291148.55	7829709206621.55	475233084527.005	10191629204818.1	10666862289345.1	1181	48	37	563534.522771553
1167496.2749915	47	8304941384713.38	8125751841059.31	179189543654.069	10687112191207.1	10866301734861.2	1155	20	38	586931.346850914
1166167.02422553	46	8304941042936.45	7198299642990.24	1106641399946.21	10635002011355.7	11741643411301.9	1137	27	38	603920.717058937
1208498.81179626	43	8304938932185.49	7568156592640.19	736782339545.298	10974181717505.3	11710964057050.6	1114	19	38	618280.706526144
