""	"(Intercept)"	""	""	""
"81"	"139124993153.255"	"14ca302a280ac526591712da0c813c39"	"12713.7089855635"	"4"
"81"	"412230150461.011"	"455a0d2c5a774a30e4703cce5ff13f41"	"37670.9752090559"	"4"
"81"	"561841675424.182"	"6c3e888b8ed2159d914f6cf8440bc45c"	"51342.9786798687"	"4"
"81"	"142234745190.806"	"c36919b8269f6a5779ee0e8fe0c5c5da"	"12997.8885677262"	"4"
"81"	"544715423230.797"	"58549e82f279b239972805a7d5674551"	"49777.9242531619"	"4"
"81"	"140870198608.208"	"17f8974e49d2da14775ea6b6eb6d8e4c"	"12873.1917195525"	"4"
"81"	"200987446390.187"	"ef979d55414c7a805c9bfec62dffe392"	"18366.9076651207"	"4"
"81"	"143690442949.991"	"cfabf69ce844be82c5fe8fb7ccba96cd"	"13130.9151164558"	"4"
"81"	"135562526779.439"	"fd5ae3ea30bd51165df6f5a999409e85"	"12388.1588473675"	"4"
"81"	"139726535633.823"	"cc77fe70457302bb31b9f0d051ed7b74"	"12768.6799571125"	"4"
"81"	"268874324515.75"	"0dd3f98a63b01b9a556ce808a7a3f97c"	"24570.6385179665"	"4"
"81"	"150452721307.101"	"7aeb985cde5debaebdd947e9edf1561a"	"13748.8748170322"	"4"
"81"	"571983482368.69"	"72fc9f727846ea2fb7553045ca39dbba"	"52269.7710495057"	"4"
"81"	"133122190545.474"	"1ea1247836bca818a8881a5841efd4e5"	"12165.1527288954"	"4"
"81"	"126493349120.468"	"89e705b6e90726362ad144196de04f69"	"11559.3869431884"	"4"
"81"	"122945186516.716"	"fb163737e6dd36ec73e99ddd70567b79"	"11235.1439315257"	"4"
"81"	"150377783717.508"	"fda6a0714f72a3df74239c4571cb94e3"	"13742.0267684928"	"4"
"81"	"553361183818.066"	"a4c1471cb8b9c9ba66c3f59644634c8d"	"50568.0028837089"	"4"
"81"	"562434962657.013"	"c14522b2909a54da964e000ca112efe7"	"51397.1952591627"	"4"
"81"	"133119656195.242"	"cee9947a52e9488e44d06eba055f65d6"	"12164.9211314622"	"4"
"81"	"121955993695.784"	"84838566f508732331c35525ae424002"	"11144.7481703408"	"4"
"81"	"420600993071.128"	"06ab08d1da0c5c0ba7acb9f33f6558aa"	"38435.9309118155"	"4"
"81"	"429558152672.735"	"93148a5c316c25f0e3f4b4e774cb00c8"	"39254.4662298128"	"4"
"81"	"412603174189.261"	"3432be9a37eaaf893504dfda209fa60b"	"37705.0633697679"	"4"
"81"	"138868290983.195"	"aeefc9602c7f6c23245e8199dd100e9c"	"12690.2506793876"	"4"
"81"	"417685270318.389"	"2be04632962b2835617b8df0e4dc43b1"	"38169.4823771509"	"4"
"81"	"557934401170.198"	"e4f1ce25deea1da591b352c1aa0b1e0d"	"50985.9188398929"	"4"
"81"	"136777784601.92"	"c7d2486bdf2ceaceae0669033b7f4a31"	"12499.2131874057"	"4"
"81"	"129249724848.376"	"8675268c0c4af17e96df07987c872d0b"	"11811.2738117174"	"4"
"82"	"145316939348.104"	"7a9e0a53aaf073dace55cefd3f93d78e"	"12728.0210685995"	"4"
"82"	"147272107285.119"	"44e5fc470ebc2ec8a1addd7968dc88ed"	"12899.2703311192"	"4"
"82"	"207585818263.363"	"dbea9e41dbcb91530e2f374c152fb314"	"18182.028057096"	"4"
"82"	"142239854368.288"	"f6a1ce521d6bd3f124eeb59c98fc397e"	"12458.5053285305"	"4"
"82"	"251226239548.965"	"7b2785560acb9a1ca44736b5418515f7"	"22004.4055724599"	"4"
"82"	"430732474916.667"	"00e90f42d4144cb05d4455b62c51cae7"	"37726.9989325636"	"4"
"82"	"140587062499.559"	"fabe1cad76807c2c7e6649cbb5b92ed4"	"12313.7405831294"	"4"
"82"	"567344510357.543"	"d7332e298acfbe2bb8844c907cff9779"	"49692.5748187338"	"4"
"82"	"585312371443.885"	"6ddb8169ffa892e3814fd091a6ec6986"	"51266.3439573529"	"4"
"82"	"444139160514.106"	"a1f6c3274454c7113be5518ad2339ec0"	"38901.2638015444"	"4"
"82"	"447664529682.389"	"b5cf712d27eeaee19f70155032158202"	"39210.0438601514"	"4"
"82"	"155029608068.234"	"8b6a6e69178a45456740d2ff2cd93490"	"13578.7343622919"	"4"
"83"	"146736692184.452"	"90b021741c452a4c1a5e8efd5a242ac0"	"12451.4082973754"	"4"
"83"	"590143189009.221"	"e351b9556ab6c55e3eb3cbb833136e4d"	"50076.8668754793"	"4"
"83"	"151194649937.705"	"c5f045cdc2f1e02b7958da2387966dba"	"12829.6903162206"	"4"
"83"	"146908402551.257"	"43000ade50acf14c959cad0735d3db07"	"12465.9788581135"	"4"
"83"	"603584392519.329"	"0699f16a836e56ed4dc802db748d4c6c"	"51217.4262708218"	"4"
"83"	"588277826043.112"	"d7dd394af5ae1799ead4d375cb0cc2b7"	"49918.5806583917"	"4"
"83"	"443611183765.264"	"55910ac40cfa1474217beddd358e9214"	"37642.8273808982"	"4"
"83"	"158294302410.294"	"0394e037c84e2e590cb34babd2689c98"	"13432.1345337484"	"4"
"83"	"617202154365.181"	"0bfe75a21d70deb62ebc855412e4dedc"	"52372.9676034967"	"4"
"83"	"216735635074.519"	"a9de15daf061f496ea8317c4280d9a4d"	"18391.2002153592"	"4"
"83"	"164256634715.045"	"3abbd40342f8b6f502de81d93cece341"	"13938.0709346982"	"4"
"83"	"594746734235.19"	"75618e4991bb6c818818d9b970a1b1d1"	"50467.5027850847"	"4"
"83"	"768168941290.086"	"ce2a27f73a1be0c362a591360ba7c08c"	"65183.3225008387"	"4"
"83"	"156952986176.667"	"84ccc60d086bf8c5396a4e42974949ee"	"13318.3165388613"	"4"
"83"	"212337885710.849"	"49cdc0dcc7b361f7de30475b40abb83e"	"18018.0272066086"	"4"
"83"	"136047617540.905"	"316f9978410d4e9a9a25b1cf5992f2f4"	"11544.3820401621"	"4"
"83"	"152662139740.355"	"06978f69380c95c1773a13ac3b3d42db"	"12954.2148263006"	"4"
"83"	"271786993487.888"	"d605e404a539a76d19ca159cc41d1d78"	"23062.6081006368"	"4"
"83"	"137662504715.626"	"8ef71de8e9ab4d3890533dbd571cfdf5"	"11681.4140208297"	"4"
"83"	"151077220419.352"	"d413c7494c8da80c6ce71bdd741bc096"	"12819.725781397"	"4"
"83"	"631288870467.706"	"d21fce82ee96f5c8a6256827f964dc12"	"53568.3022614518"	"4"
"83"	"175174163564.741"	"de5fde5549cb4a86b3736564e0e7af31"	"14864.4827767688"	"4"
"83"	"157863958897.49"	"d1613f6d3a46649dd5d55e4aefa0df06"	"13395.61754058"	"4"
"83"	"125715142749.383"	"ae9262ac720d24533419f50ee8ec9024"	"10667.6152244712"	"4"
"83"	"589985082477.996"	"8a194ab0e1a0531f3dad938a0c22ecc2"	"50063.4506743543"	"4"
"83"	"216470029670.58"	"27d73e1e7df7f5d18385aa19c5ac2060"	"18368.662148832"	"4"
"83"	"284241564346.891"	"6e6edf703f1d17a32c4660a09691000e"	"24119.4463367006"	"4"
"83"	"578813475756.47"	"51409fb612e63da7b40646ab2e02c6ad"	"49115.4789397007"	"4"
"83"	"590514138562.231"	"1050696ae72dd5d54d2c2c3a26c5d81b"	"50108.3439673607"	"4"
"83"	"162996875270.199"	"a8ca232780ca83d7a54a7794ce890188"	"13831.1734779631"	"4"
"83"	"595851798869.434"	"41b522319cfaeb65d1e8b0d5125387b3"	"50561.2735437895"	"4"
"83"	"306962934349.923"	"0f48c6927449a68ab930867d1b3194c6"	"26047.478451721"	"4"
"83"	"130486278956.039"	"ddede0d3d27366536e462a45d9a3f592"	"11072.4721424449"	"4"
"83"	"153750917811.509"	"9fa17c0af97b1fa6bb881f7b62be7b0f"	"13046.6035813376"	"4"
"83"	"133532632436.187"	"886ac35e2a6a0fdc3eb1a22f231625da"	"11330.9718430636"	"4"
"83"	"455998990585.365"	"3761613e87f866ae85ab764648c52ac6"	"38694.0003242831"	"4"
"83"	"179026281834.079"	"f3d4dfb8ba4bedbfa301bda3f38bf45f"	"15191.3560125441"	"4"
"83"	"253399681573.707"	"7972be436f99520f11bb685e75ea6b06"	"21502.3444424724"	"4"
"83"	"146796743446.772"	"82301a547d669b4ac5a48c6aabc68713"	"12456.5039743651"	"4"
"83"	"137058622841.235"	"a1d38ea4365a000ef86f6ee20011c668"	"11630.1713516003"	"4"
"83"	"162730246684.854"	"936283d7bd226e32bcd410ce0abfdb68"	"13808.5485889154"	"4"
"83"	"602403735877.447"	"b287e8f6887860b1ac42525740517af5"	"51117.2411181635"	"4"
"83"	"164914887852.455"	"951965a70d4cfe8d05b2af312e0b2656"	"13993.927302011"	"4"
"83"	"277440848689.681"	"7fdf5ee97e7efb4fbb4ad3a9907f6e2e"	"23542.3685376737"	"4"
"83"	"144668573831.738"	"e298b8b9b97976ab1f29a2016b776483"	"12275.9171803713"	"4"
"83"	"149851145237.286"	"ab05d53f25d9e44ff29fd1f592899fa8"	"12715.6866179954"	"4"
"83"	"610376607246.604"	"47c70411f93ece8229f408f1ae21248d"	"51793.782719599"	"4"
"84"	"793680351607.909"	"2ac54040e29dda94bc962feabca870cd"	"64784.0480202355"	"4"
"84"	"158071062223.571"	"fefb72dba5b6533f1b5a31c30e743390"	"12902.5284107832"	"4"
"84"	"626864211857.403"	"9febe7cdda6ed7f384e90ed66810a007"	"51167.7038758287"	"4"
"84"	"155183194285.055"	"72b012a0883b418f7db1d8fa63942245"	"12666.8065930188"	"4"
"84"	"788616736621.594"	"ee8a5d729fd2037a4ac47ee78cfd8f29"	"64370.7311531052"	"4"
"84"	"616026852697.061"	"8192377abc53601e531bf530de8dd517"	"50283.1059456497"	"4"
"84"	"636068629734.736"	"d04a32f25df2dffcb2deff26be5315fc"	"51919.013201498"	"4"
"84"	"621846986420.647"	"0182120b37e456cb72b0752a92637f6d"	"50758.1735492121"	"4"
"84"	"293623157371.439"	"3652eb7270bef6a142583b69364c28a7"	"23966.9492743115"	"4"
"84"	"638979026085.435"	"fff82edbc40a5e701059e52d5c3a20a7"	"52156.5738977652"	"4"
"84"	"147776899660.779"	"02f91b450ecdc91cb08c9502798ba71c"	"12062.2688271297"	"4"
"84"	"281184914880.636"	"4bc7ffd137207ed970804226fc672f84"	"22951.6794655288"	"4"
"84"	"170786556973.55"	"cc09de9680da034038d628b08679c2f7"	"13940.428896558"	"4"
"84"	"174827946053.229"	"7213d973d30b7b3409c5f0a30be97316"	"14270.3067166097"	"4"
"84"	"162269534628.642"	"b75497d13a95904b304187b27f96f632"	"13245.2281353647"	"4"
"84"	"623451629204.105"	"82153a951c39d95eb5ead973c67e4f8a"	"50889.1522926423"	"4"
"84"	"285013418318.232"	"56abe80c569741d7db2f96a65dc83dbc"	"23264.1805247329"	"4"
